id,name,city,country,iata,icao,latitude,longitude,altitude,timezone,tz_timezone
8908,Krakow Glowny,Krakow,Poland,,N,50.065556,19.947222,719,1,E
8909,Wien Meidling,Vienna,Austria,,N,48.175,16.335278,738,1,E
8910,Roma Termini,Rome,Italy,,N,41.900833,12.501944,197,1,E
8911,Napoli Centrale,Naples,Italy,,N,40.8525,14.271944,39,1,E
8912,Euston Station,London,United Kingdom,,N,51.5284,-0.1331,89,0,E
8913,Kankan Airport,Kankan,Guinea,KNN,GUXN,10.448438,-9.228757,376,+00:00,GMT
8914,Termas de Río Hondo international Airport,Termas de Río Hondo,Argentina,RHD,SANR,-27.4966,-64.93595,284,-03:00,-03
8915,Guangzhou Railway Station,Guangzhou,China,,N,23.151343,113.252073,19,8,N
8916,Shenzhen West Railway Station,Shenzhen,China,,N,22.532043,113.908729,3,8,N
8917,Shenzhen North Railway Station,Shenzhen,China,,N,22.607058,114.027203,229,8,N
8918,Keetmanshoop Airport,Keetmanshoop,Namibia,KMP,FYKT,-26.539800643921,18.111400604248,1068,+02:00,CAT
8919,Shekou Ferry Terminal,Shenzhen,China,,N,22.476555,113.912855,2,8,N
8920,Zhuhai-Jiuzhou Port,Zhuhai,China,,N,22.233333,113.583333,2,8,N
8921,Kangding Airport,Kangding,China,KGT,ZUKD,30.142464,101.73872,4279,+08:00,CST
8922,Train Station,Aranyaprathet,Thailand,,N,13.4058,102.311,150,7,N
8923,Train Station,Nha Trang,Vietnam,,N,12.15,109.11,50,7,N
8924,Velikiy Ustyug Airport,Velikiy Ustyug,Russia,VUS,ULWU,60.788299560547,46.259998321533,100,+03:00,MSK
8925,Iowa City Municipal Airport,Iowa City,United States,IOW,KIOW,41.6391983032,-91.5465011597,203,-05:00,CDT
8926,Turpan Jiaohe Airport,Turpan,China,TLQ,ZWTP,43.0308,89.0987,284,+06:00,+06
8927,Lorenzo,Morro de Sao Paulo,Brazil,,SNCL,-13.389444445,-38.91,3,-3,S
8928,Windom Municipal Airport,Windom,United States,MWM,KMWM,43.9134017,-95.1094083,1410,-6,A
8929,Sasakwa Airstrip,Sasakwa,Tanzania,,N,-2.0714,34.5068,4000,3,N
8930,Yabuli,Yabuli Town,China,,N,44.4653,128.27,1200,8,N
8931,Longview Ranch Airport,Longview,United States,,OG39,44.6608611,-119.6526153,2080,-8,A
8932,Rothera Research Station,Rothera Research Station,United Kingdom,,EGAR,-67.34,-68.08,200,12,U
8933,Sortavala,Sortavala,Russia,,ULPW,61.736099,30.673599,14,4,N
8934,Valaam,Valaam,Russia,,N,61.37115,30.88977,15,4,N
8935,Lee Airport,Annapolis,United States,ANP,KANP,38.942902,-76.568398,10,-04:00,EDT
8936,Songshan Train Station,Taipei,Taiwan,,N,25.049214,121.577961,0,8,N
8937,Kaohsiung Station,Kaohsiung,Taiwan,,N,22.638432,120.301877,39,8,N
8938,Hualien Station,Hualien,Taiwan,,N,23.992722,121.60135,45,8,N
8939,El Merk,El Merk,Algeria,,N,30.300039,8.160833,0,1,U
8940,Budapest Keleti pu.,Budapest,Hungary,,N,-47.500278,-160.916111,0,1,E
8941,Bratislava hl. st.,Bratislava,Slovakia,,N,-48.158263,17.105839,430,1,E
8942,Ndutu,Ndutu,Tanzania,DUU,HTND,-3.0243398,34.98450589999993,5400,3,U
8943,Cuamba Airport,Cuamba,Mozambique,FXO,FQCB,-14.815,36.529999,584,+02:00,CAT
8944,Bodaybo Airport,Bodaybo,Russia,ODO,UIKB,57.8661003113,114.242996216,280,+08:00,+08
